Iters:  3 ; Mean IoU is 0.5231581376819867
Iters:  3 ; Mean IoU is 0.5231581376819867
Iters:  5 ; Mean IoU is 0.528503154661231
Iters:  5 ; Mean IoU is 0.528503154661231
Iters:  7 ; Mean IoU is 0.5819031465449536
Iters:  7 ; Mean IoU is 0.5819031465449536
Iters:  9 ; Mean IoU is 0.5898671767827524
Iters:  9 ; Mean IoU is 0.5898671767827524
Iters:  11 ; Mean IoU is 0.6063890099052813
Iters:  11 ; Mean IoU is 0.6063890099052813
Iters:  14 ; Mean IoU is 0.6105265008846146
Iters:  14 ; Mean IoU is 0.6105265008846146
Iters:  16 ; Mean IoU is 0.6277665566146071
Iters:  16 ; Mean IoU is 0.6277665566146071
Iters:  18 ; Mean IoU is 0.6285359687820196
Iters:  18 ; Mean IoU is 0.6285359687820196
Iters:  20 ; Mean IoU is 0.6273077519198449
Iters:  22 ; Mean IoU is 0.6461857241820572
Iters:  22 ; Mean IoU is 0.6461857241820572
Iters:  25 ; Mean IoU is 0.6424747559879287
Iters:  27 ; Mean IoU is 0.6548125617988371
Iters:  27 ; Mean IoU is 0.6548125617988371
Iters:  29 ; Mean IoU is 0.6528164873608506
Iters:  31 ; Mean IoU is 0.6439072779091876
Iters:  33 ; Mean IoU is 0.6599366014411325
Iters:  33 ; Mean IoU is 0.6599366014411325
Iters:  36 ; Mean IoU is 0.6578452316815182
Iters:  38 ; Mean IoU is 0.6611077790099552
Iters:  38 ; Mean IoU is 0.6611077790099552
Iters:  40 ; Mean IoU is 0.6632160781582637
Iters:  40 ; Mean IoU is 0.6632160781582637
Iters:  42 ; Mean IoU is 0.6689066327175409
Iters:  42 ; Mean IoU is 0.6689066327175409
Iters:  44 ; Mean IoU is 0.668879570978264
Iters:  47 ; Mean IoU is 0.6681041925961061
Iters:  49 ; Mean IoU is 0.6702851337581729
Iters:  49 ; Mean IoU is 0.6702851337581729
Iters:  51 ; Mean IoU is 0.6704183471265959
Iters:  51 ; Mean IoU is 0.6704183471265959
Iters:  53 ; Mean IoU is 0.6664756381059613
Iters:  55 ; Mean IoU is 0.672039454229142
