Iters:  2 ; Mean IoU is 0.5181831125655646
Iters:  2 ; Mean IoU is 0.5181831125655646
Iters:  4 ; Mean IoU is 0.5228191725362867
Iters:  4 ; Mean IoU is 0.5228191725362867
Iters:  5 ; Mean IoU is 0.5524098910447528
Iters:  5 ; Mean IoU is 0.5524098910447528
Iters:  7 ; Mean IoU is 0.5857149097410452
Iters:  7 ; Mean IoU is 0.5857149097410452
Iters:  9 ; Mean IoU is 0.6132097729091384
Iters:  9 ; Mean IoU is 0.6132097729091384
Iters:  10 ; Mean IoU is 0.6128129020987162
Iters:  12 ; Mean IoU is 0.6291506478752835
Iters:  12 ; Mean IoU is 0.6291506478752835
Iters:  14 ; Mean IoU is 0.6459152029933262
Iters:  14 ; Mean IoU is 0.6459152029933262
Iters:  15 ; Mean IoU is 0.63291500647853
Iters:  17 ; Mean IoU is 0.6364486985211285
Iters:  19 ; Mean IoU is 0.6505250894464144
Iters:  19 ; Mean IoU is 0.6505250894464144
Iters:  20 ; Mean IoU is 0.6403432424702499
Iters:  22 ; Mean IoU is 0.662921305357891
Iters:  22 ; Mean IoU is 0.662921305357891
Iters:  23 ; Mean IoU is 0.669012108534639
Iters:  23 ; Mean IoU is 0.669012108534639
Iters:  25 ; Mean IoU is 0.6571385807712168
Iters:  27 ; Mean IoU is 0.6773072504638764
Iters:  27 ; Mean IoU is 0.6773072504638764
Iters:  28 ; Mean IoU is 0.6772268516460814
Iters:  30 ; Mean IoU is 0.6716001340151858
Iters:  32 ; Mean IoU is 0.6753734588467452
Iters:  33 ; Mean IoU is 0.6594053296965694
Iters:  35 ; Mean IoU is 0.6778321618686128
Iters:  35 ; Mean IoU is 0.6778321618686128
Iters:  37 ; Mean IoU is 0.6723070471620527
Iters:  38 ; Mean IoU is 0.6573952941704746
Iters:  40 ; Mean IoU is 0.6832132614986195
Iters:  40 ; Mean IoU is 0.6832132614986195
Iters:  41 ; Mean IoU is 0.6856499104236116
Iters:  41 ; Mean IoU is 0.6856499104236116
Iters:  43 ; Mean IoU is 0.6883836008825273
Iters:  43 ; Mean IoU is 0.6883836008825273
Iters:  45 ; Mean IoU is 0.6859912785154526
Iters:  46 ; Mean IoU is 0.68696692507776
Iters:  48 ; Mean IoU is 0.68582634681129
Iters:  50 ; Mean IoU is 0.693905388779307
Iters:  50 ; Mean IoU is 0.693905388779307
Iters:  51 ; Mean IoU is 0.684135951797617
Iters:  53 ; Mean IoU is 0.6988417560723416
Iters:  53 ; Mean IoU is 0.6988417560723416
Iters:  55 ; Mean IoU is 0.696437017410945
Iters:  56 ; Mean IoU is 0.6965187502040793
Iters:  58 ; Mean IoU is 0.6919669553642235
Iters:  60 ; Mean IoU is 0.6950827803358317
Iters:  61 ; Mean IoU is 0.696462749229132
Iters:  63 ; Mean IoU is 0.6617586487542363
Iters:  64 ; Mean IoU is 0.6125998006581502
Iters:  66 ; Mean IoU is 0.6905594703149429
Iters:  68 ; Mean IoU is 0.6912259447646988
Iters:  69 ; Mean IoU is 0.6996879597513436
Iters:  69 ; Mean IoU is 0.6996879597513436
Iters:  71 ; Mean IoU is 0.6925769000938766
Iters:  73 ; Mean IoU is 0.6948667060875866
Iters:  74 ; Mean IoU is 0.6986059866572182
Iters:  76 ; Mean IoU is 0.6883128153364176
Iters:  78 ; Mean IoU is 0.6986379805610867
Iters:  79 ; Mean IoU is 0.6952125151463145
Iters:  81 ; Mean IoU is 0.6985241790064444
Iters:  82 ; Mean IoU is 0.7010826929298704
Iters:  82 ; Mean IoU is 0.7010826929298704
Iters:  84 ; Mean IoU is 0.7024967538452643
Iters:  84 ; Mean IoU is 0.7024967538452643
Iters:  86 ; Mean IoU is 0.6991576297346638
Iters:  87 ; Mean IoU is 0.6997262695820501
Iters:  89 ; Mean IoU is 0.6969347825351426
Iters:  91 ; Mean IoU is 0.7030648237464029
Iters:  91 ; Mean IoU is 0.7030648237464029
Iters:  92 ; Mean IoU is 0.7010605509770879
Iters:  94 ; Mean IoU is 0.7008520270094015
Iters:  96 ; Mean IoU is 0.703320545815369
Iters:  96 ; Mean IoU is 0.703320545815369
Iters:  97 ; Mean IoU is 0.7020810750565053
Iters:  99 ; Mean IoU is 0.7010744401385569
Iters:  100 ; Mean IoU is 0.7002104317330227
Iters:  102 ; Mean IoU is 0.7052406543300047
Iters:  102 ; Mean IoU is 0.7052406543300047
Iters:  104 ; Mean IoU is 0.7022282805426738
Iters:  105 ; Mean IoU is 0.7039594478300274
Iters:  107 ; Mean IoU is 0.7045999943585749
Iters:  109 ; Mean IoU is 0.7040666886584327
Iters:  110 ; Mean IoU is 0.7038767205863539
Iters:  112 ; Mean IoU is 0.6969285330645394
Iters:  114 ; Mean IoU is 0.6974638605429606
Iters:  115 ; Mean IoU is 0.701561136255725
Iters:  117 ; Mean IoU is 0.6975765266331011
Iters:  119 ; Mean IoU is 0.7013993752533899
Iters:  120 ; Mean IoU is 0.7031790255015891
Iters:  122 ; Mean IoU is 0.7048107512637045
Iters:  123 ; Mean IoU is 0.7027611662179332
