Iters:  2 ; Mean IoU is 0.5114490739530836
Iters:  2 ; Mean IoU is 0.5114490739530836
Iters:  4 ; Mean IoU is 0.5365456332784263
Iters:  4 ; Mean IoU is 0.5365456332784263
Iters:  5 ; Mean IoU is 0.5475319715649822
Iters:  5 ; Mean IoU is 0.5475319715649822
Iters:  7 ; Mean IoU is 0.6009633744790369
Iters:  7 ; Mean IoU is 0.6009633744790369
Iters:  9 ; Mean IoU is 0.5833417291922521
Iters:  10 ; Mean IoU is 0.5839425629022238
Iters:  12 ; Mean IoU is 0.6387012020337555
Iters:  12 ; Mean IoU is 0.6387012020337555
Iters:  14 ; Mean IoU is 0.6423945710540806
Iters:  14 ; Mean IoU is 0.6423945710540806
Iters:  15 ; Mean IoU is 0.6396569797978164
Iters:  17 ; Mean IoU is 0.6422917042535272
Iters:  19 ; Mean IoU is 0.6564760260879948
Iters:  19 ; Mean IoU is 0.6564760260879948
Iters:  20 ; Mean IoU is 0.6485474089155221
Iters:  22 ; Mean IoU is 0.6070961213428229
Iters:  23 ; Mean IoU is 0.6657878470990025
Iters:  23 ; Mean IoU is 0.6657878470990025
Iters:  25 ; Mean IoU is 0.6511330463922933
Iters:  27 ; Mean IoU is 0.6747491563624579
Iters:  27 ; Mean IoU is 0.6747491563624579
Iters:  28 ; Mean IoU is 0.6814708671253416
Iters:  28 ; Mean IoU is 0.6814708671253416
Iters:  30 ; Mean IoU is 0.6638206869073584
Iters:  32 ; Mean IoU is 0.6726462900370955
Iters:  33 ; Mean IoU is 0.6705205972072326
Iters:  35 ; Mean IoU is 0.674621007015932
Iters:  37 ; Mean IoU is 0.675343746673069
Iters:  38 ; Mean IoU is 0.6743348258973094
Iters:  40 ; Mean IoU is 0.6865011594622278
Iters:  40 ; Mean IoU is 0.6865011594622278
Iters:  41 ; Mean IoU is 0.6848171401402879
Iters:  43 ; Mean IoU is 0.6884470793314512
Iters:  43 ; Mean IoU is 0.6884470793314512
Iters:  45 ; Mean IoU is 0.6886964032876957
Iters:  45 ; Mean IoU is 0.6886964032876957
Iters:  46 ; Mean IoU is 0.6876061991214983
Iters:  48 ; Mean IoU is 0.6877525421935905
Iters:  50 ; Mean IoU is 0.681943341863427
Iters:  51 ; Mean IoU is 0.6854988426213356
Iters:  53 ; Mean IoU is 0.693760484111697
Iters:  53 ; Mean IoU is 0.693760484111697
Iters:  55 ; Mean IoU is 0.6936000257683933
Iters:  56 ; Mean IoU is 0.6969507189080253
Iters:  56 ; Mean IoU is 0.6969507189080253
Iters:  58 ; Mean IoU is 0.6887671199836973
Iters:  60 ; Mean IoU is 0.6875884532866132
Iters:  61 ; Mean IoU is 0.6917952058394321
Iters:  63 ; Mean IoU is 0.6662110617257115
Iters:  64 ; Mean IoU is 0.6347148489295172
Iters:  66 ; Mean IoU is 0.6882769549591736
Iters:  68 ; Mean IoU is 0.6828423113869372
Iters:  69 ; Mean IoU is 0.69447050027096
Iters:  71 ; Mean IoU is 0.6930123520732443
Iters:  73 ; Mean IoU is 0.6899552206056467
