Iters:  2 ; Mean IoU is 0.5161072117272852
Iters:  2 ; Mean IoU is 0.5161072117272852
Iters:  4 ; Mean IoU is 0.5448340484415843
Iters:  4 ; Mean IoU is 0.5448340484415843
Iters:  5 ; Mean IoU is 0.5742697329812092
Iters:  5 ; Mean IoU is 0.5742697329812092
Iters:  7 ; Mean IoU is 0.5765913549107436
Iters:  7 ; Mean IoU is 0.5765913549107436
Iters:  9 ; Mean IoU is 0.6080465375415189
Iters:  9 ; Mean IoU is 0.6080465375415189
Iters:  10 ; Mean IoU is 0.5921214855704628
Iters:  12 ; Mean IoU is 0.6331873122926821
Iters:  12 ; Mean IoU is 0.6331873122926821
Iters:  14 ; Mean IoU is 0.6480460317862438
Iters:  14 ; Mean IoU is 0.6480460317862438
Iters:  15 ; Mean IoU is 0.6446650804582481
Iters:  17 ; Mean IoU is 0.6508109991640998
Iters:  17 ; Mean IoU is 0.6508109991640998
Iters:  19 ; Mean IoU is 0.6592246638733615
Iters:  19 ; Mean IoU is 0.6592246638733615
Iters:  20 ; Mean IoU is 0.6442637667347244
Iters:  22 ; Mean IoU is 0.6600741179092072
Iters:  22 ; Mean IoU is 0.6600741179092072
Iters:  23 ; Mean IoU is 0.6710732186882973
Iters:  23 ; Mean IoU is 0.6710732186882973
Iters:  25 ; Mean IoU is 0.6628372745786031
Iters:  27 ; Mean IoU is 0.6643600277512606
Iters:  28 ; Mean IoU is 0.6842584135327814
Iters:  28 ; Mean IoU is 0.6842584135327814
Iters:  30 ; Mean IoU is 0.6648365930575887
Iters:  32 ; Mean IoU is 0.6625388074369951
Iters:  33 ; Mean IoU is 0.6603827687038462
Iters:  35 ; Mean IoU is 0.6737080841296799
Iters:  37 ; Mean IoU is 0.6810550098706561
Iters:  38 ; Mean IoU is 0.6720537854059012
Iters:  40 ; Mean IoU is 0.6909247611413595
Iters:  40 ; Mean IoU is 0.6909247611413595
Iters:  41 ; Mean IoU is 0.6917499400724051
Iters:  41 ; Mean IoU is 0.6917499400724051
Iters:  43 ; Mean IoU is 0.6957093977368389
Iters:  43 ; Mean IoU is 0.6957093977368389
Iters:  45 ; Mean IoU is 0.6912072860476298
Iters:  46 ; Mean IoU is 0.6931288911731242
Iters:  48 ; Mean IoU is 0.6950325731978957
Iters:  50 ; Mean IoU is 0.6984045612159905
Iters:  50 ; Mean IoU is 0.6984045612159905
Iters:  51 ; Mean IoU is 0.6931187295635165
Iters:  53 ; Mean IoU is 0.7000617350738414
Iters:  53 ; Mean IoU is 0.7000617350738414
Iters:  55 ; Mean IoU is 0.6978817983560462
Iters:  56 ; Mean IoU is 0.7005819998571843
Iters:  56 ; Mean IoU is 0.7005819998571843
Iters:  58 ; Mean IoU is 0.6994896620969114
Iters:  60 ; Mean IoU is 0.6921514675880377
Iters:  61 ; Mean IoU is 0.6963233739886
Iters:  63 ; Mean IoU is 0.6712442315435619
Iters:  64 ; Mean IoU is 0.6354720695506874
Iters:  66 ; Mean IoU is 0.6944775282676272
Iters:  68 ; Mean IoU is 0.693110493247095
Iters:  69 ; Mean IoU is 0.7001997179019827
Iters:  71 ; Mean IoU is 0.6925755304052978
Iters:  73 ; Mean IoU is 0.6974212360417683
Iters:  74 ; Mean IoU is 0.6994873754762594
Iters:  76 ; Mean IoU is 0.6976987383028559
Iters:  78 ; Mean IoU is 0.7000573090738228
Iters:  79 ; Mean IoU is 0.7000633365271318
Iters:  81 ; Mean IoU is 0.6993776494344316
Iters:  82 ; Mean IoU is 0.7023918898132395
Iters:  82 ; Mean IoU is 0.7023918898132395
Iters:  84 ; Mean IoU is 0.7020467600212374
Iters:  86 ; Mean IoU is 0.7053502322556163
Iters:  86 ; Mean IoU is 0.7053502322556163
Iters:  87 ; Mean IoU is 0.701348389249832
Iters:  89 ; Mean IoU is 0.7024256440563319
