Iters:  2 ; Mean IoU is 0.49433741035712203
Iters:  2 ; Mean IoU is 0.49433741035712203
Iters:  4 ; Mean IoU is 0.5338363612035896
Iters:  4 ; Mean IoU is 0.5338363612035896
Iters:  5 ; Mean IoU is 0.5733376591444881
Iters:  5 ; Mean IoU is 0.5733376591444881
Iters:  7 ; Mean IoU is 0.5892742220859268
Iters:  7 ; Mean IoU is 0.5892742220859268
Iters:  9 ; Mean IoU is 0.5982137186130095
Iters:  9 ; Mean IoU is 0.5982137186130095
Iters:  10 ; Mean IoU is 0.6181115502177376
Iters:  10 ; Mean IoU is 0.6181115502177376
Iters:  12 ; Mean IoU is 0.5844785394993697
Iters:  14 ; Mean IoU is 0.6200167111043916
Iters:  14 ; Mean IoU is 0.6200167111043916
Iters:  15 ; Mean IoU is 0.5990268371647364
Iters:  17 ; Mean IoU is 0.6306977724757725
Iters:  17 ; Mean IoU is 0.6306977724757725
Iters:  19 ; Mean IoU is 0.6350266890839168
Iters:  19 ; Mean IoU is 0.6350266890839168
Iters:  20 ; Mean IoU is 0.6374172993065242
Iters:  20 ; Mean IoU is 0.6374172993065242
Iters:  22 ; Mean IoU is 0.6509887622432953
Iters:  22 ; Mean IoU is 0.6509887622432953
Iters:  23 ; Mean IoU is 0.6609864010724574
Iters:  23 ; Mean IoU is 0.6609864010724574
Iters:  25 ; Mean IoU is 0.6486681377255346
Iters:  27 ; Mean IoU is 0.6673322636349406
Iters:  27 ; Mean IoU is 0.6673322636349406
Iters:  28 ; Mean IoU is 0.6750341591004648
Iters:  28 ; Mean IoU is 0.6750341591004648
Iters:  30 ; Mean IoU is 0.6640982574299825
Iters:  32 ; Mean IoU is 0.6800993911673209
Iters:  32 ; Mean IoU is 0.6800993911673209
Iters:  33 ; Mean IoU is 0.673661642778533
Iters:  35 ; Mean IoU is 0.6712781966225091
Iters:  37 ; Mean IoU is 0.6799387471771869
Iters:  38 ; Mean IoU is 0.6791197987048977
Iters:  40 ; Mean IoU is 0.6802497674002093
Iters:  40 ; Mean IoU is 0.6802497674002093
