Iters:  2 ; Mean IoU is 0.5003144642807936
Iters:  2 ; Mean IoU is 0.5003144642807936
Iters:  4 ; Mean IoU is 0.5678460323498865
Iters:  4 ; Mean IoU is 0.5678460323498865
Iters:  5 ; Mean IoU is 0.55653756501468
Iters:  7 ; Mean IoU is 0.5918917529697488
Iters:  7 ; Mean IoU is 0.5918917529697488
Iters:  9 ; Mean IoU is 0.5883642441417821
Iters:  10 ; Mean IoU is 0.6169631850774712
Iters:  10 ; Mean IoU is 0.6169631850774712
Iters:  12 ; Mean IoU is 0.6444912045868906
Iters:  12 ; Mean IoU is 0.6444912045868906
Iters:  14 ; Mean IoU is 0.6469744344644782
Iters:  14 ; Mean IoU is 0.6469744344644782
Iters:  15 ; Mean IoU is 0.627849946028405
Iters:  17 ; Mean IoU is 0.6519471656280441
Iters:  17 ; Mean IoU is 0.6519471656280441
Iters:  19 ; Mean IoU is 0.6506742858288691
Iters:  20 ; Mean IoU is 0.6530461699297808
Iters:  20 ; Mean IoU is 0.6530461699297808
Iters:  22 ; Mean IoU is 0.6694814392994269
Iters:  22 ; Mean IoU is 0.6694814392994269
Iters:  23 ; Mean IoU is 0.6751298036765218
Iters:  23 ; Mean IoU is 0.6751298036765218
Iters:  25 ; Mean IoU is 0.6634748306225923
Iters:  27 ; Mean IoU is 0.680265226834533
Iters:  27 ; Mean IoU is 0.680265226834533
Iters:  28 ; Mean IoU is 0.6842129260134217
Iters:  28 ; Mean IoU is 0.6842129260134217
Iters:  30 ; Mean IoU is 0.6758875284653457
Iters:  32 ; Mean IoU is 0.679384171329748
Iters:  33 ; Mean IoU is 0.6748470474324035
Iters:  35 ; Mean IoU is 0.6843366122408897
Iters:  35 ; Mean IoU is 0.6843366122408897
Iters:  37 ; Mean IoU is 0.6888828423562556
Iters:  37 ; Mean IoU is 0.6888828423562556
Iters:  38 ; Mean IoU is 0.669402900439543
Iters:  40 ; Mean IoU is 0.6915849327347094
Iters:  40 ; Mean IoU is 0.6915849327347094
Iters:  41 ; Mean IoU is 0.693879651636791
Iters:  41 ; Mean IoU is 0.693879651636791
Iters:  43 ; Mean IoU is 0.6932247004352294
Iters:  45 ; Mean IoU is 0.6905664475397604
Iters:  46 ; Mean IoU is 0.690101481480149
Iters:  48 ; Mean IoU is 0.6878064029044113
Iters:  50 ; Mean IoU is 0.6902912348926311
Iters:  51 ; Mean IoU is 0.6883698533322085
Iters:  53 ; Mean IoU is 0.6932698379462169
Iters:  55 ; Mean IoU is 0.6989943475481217
Iters:  55 ; Mean IoU is 0.6989943475481217
Iters:  56 ; Mean IoU is 0.6970662358953241
Iters:  58 ; Mean IoU is 0.6875022564927071
Iters:  60 ; Mean IoU is 0.6943061519209659
Iters:  61 ; Mean IoU is 0.6959461334696483
Iters:  63 ; Mean IoU is 0.6555584790744978
Iters:  64 ; Mean IoU is 0.6239214964573379
Iters:  66 ; Mean IoU is 0.6965271153601427
Iters:  68 ; Mean IoU is 0.6949688369047711
Iters:  69 ; Mean IoU is 0.7022260873350739
Iters:  69 ; Mean IoU is 0.7022260873350739
Iters:  71 ; Mean IoU is 0.7046606311612627
