Iters:  2 ; Mean IoU is 0.4982833153189458
Iters:  2 ; Mean IoU is 0.4982833153189458
Iters:  4 ; Mean IoU is 0.5669918116516205
Iters:  4 ; Mean IoU is 0.5669918116516205
Iters:  5 ; Mean IoU is 0.5674609022073983
Iters:  5 ; Mean IoU is 0.5674609022073983
Iters:  7 ; Mean IoU is 0.5798776605167018
Iters:  7 ; Mean IoU is 0.5798776605167018
Iters:  9 ; Mean IoU is 0.6118764768417873
Iters:  9 ; Mean IoU is 0.6118764768417873
Iters:  10 ; Mean IoU is 0.5801161469142337
Iters:  12 ; Mean IoU is 0.6375046315523006
Iters:  12 ; Mean IoU is 0.6375046315523006
Iters:  14 ; Mean IoU is 0.642686446199515
Iters:  14 ; Mean IoU is 0.642686446199515
Iters:  15 ; Mean IoU is 0.638826657823929
Iters:  17 ; Mean IoU is 0.6460914286292532
Iters:  17 ; Mean IoU is 0.6460914286292532
Iters:  19 ; Mean IoU is 0.6498227543855347
Iters:  19 ; Mean IoU is 0.6498227543855347
Iters:  20 ; Mean IoU is 0.6422849625288682
Iters:  22 ; Mean IoU is 0.6596297677348164
Iters:  22 ; Mean IoU is 0.6596297677348164
Iters:  23 ; Mean IoU is 0.6743987652763698
Iters:  23 ; Mean IoU is 0.6743987652763698
Iters:  25 ; Mean IoU is 0.6598937959198673
Iters:  27 ; Mean IoU is 0.6754794222944107
Iters:  27 ; Mean IoU is 0.6754794222944107
Iters:  28 ; Mean IoU is 0.6810991297686689
Iters:  28 ; Mean IoU is 0.6810991297686689
Iters:  30 ; Mean IoU is 0.6756766799833817
Iters:  32 ; Mean IoU is 0.6810690369627098
Iters:  33 ; Mean IoU is 0.6563660402418682
Iters:  35 ; Mean IoU is 0.6771388510853291
Iters:  37 ; Mean IoU is 0.6837013392207303
Iters:  37 ; Mean IoU is 0.6837013392207303
Iters:  38 ; Mean IoU is 0.6505540700654998
Iters:  40 ; Mean IoU is 0.6805510542124618
Iters:  41 ; Mean IoU is 0.6849790956287798
Iters:  41 ; Mean IoU is 0.6849790956287798
Iters:  43 ; Mean IoU is 0.68489638424628
Iters:  45 ; Mean IoU is 0.6861473848482834
Iters:  45 ; Mean IoU is 0.6861473848482834
Iters:  46 ; Mean IoU is 0.6865658569538781
Iters:  46 ; Mean IoU is 0.6865658569538781
Iters:  48 ; Mean IoU is 0.6898096115697341
Iters:  48 ; Mean IoU is 0.6898096115697341
Iters:  50 ; Mean IoU is 0.6930739222501192
Iters:  50 ; Mean IoU is 0.6930739222501192
Iters:  51 ; Mean IoU is 0.6885458729841787
Iters:  53 ; Mean IoU is 0.6907379298552562
Iters:  55 ; Mean IoU is 0.6938919008793796
Iters:  55 ; Mean IoU is 0.6938919008793796
Iters:  56 ; Mean IoU is 0.6968357348882821
Iters:  56 ; Mean IoU is 0.6968357348882821
Iters:  58 ; Mean IoU is 0.6943885217110837
Iters:  60 ; Mean IoU is 0.6923064987959575
Iters:  61 ; Mean IoU is 0.6905020027222531
Iters:  63 ; Mean IoU is 0.6610769749141723
