Iters:  2 ; Mean IoU is 0.48842733613308603
Iters:  2 ; Mean IoU is 0.48842733613308603
Iters:  4 ; Mean IoU is 0.5194261072971662
Iters:  4 ; Mean IoU is 0.5194261072971662
Iters:  5 ; Mean IoU is 0.5352184182813831
Iters:  5 ; Mean IoU is 0.5352184182813831
Iters:  7 ; Mean IoU is 0.5774992948268504
Iters:  7 ; Mean IoU is 0.5774992948268504
Iters:  9 ; Mean IoU is 0.6127852829854442
Iters:  9 ; Mean IoU is 0.6127852829854442
Iters:  10 ; Mean IoU is 0.6202923189251892
Iters:  10 ; Mean IoU is 0.6202923189251892
Iters:  12 ; Mean IoU is 0.6358371520807138
Iters:  12 ; Mean IoU is 0.6358371520807138
Iters:  14 ; Mean IoU is 0.6280075691887299
Iters:  15 ; Mean IoU is 0.635055016094712
Iters:  17 ; Mean IoU is 0.6353636495790751
Iters:  19 ; Mean IoU is 0.6560443464719814
Iters:  19 ; Mean IoU is 0.6560443464719814
Iters:  20 ; Mean IoU is 0.6586101624562245
Iters:  20 ; Mean IoU is 0.6586101624562245
Iters:  22 ; Mean IoU is 0.6661038319806863
Iters:  22 ; Mean IoU is 0.6661038319806863
Iters:  23 ; Mean IoU is 0.657547327087344
Iters:  25 ; Mean IoU is 0.6725602969187656
Iters:  25 ; Mean IoU is 0.6725602969187656
Iters:  27 ; Mean IoU is 0.6695527009095658
Iters:  28 ; Mean IoU is 0.6704381459378989
Iters:  30 ; Mean IoU is 0.656298657790778
Iters:  32 ; Mean IoU is 0.6766806641113142
Iters:  32 ; Mean IoU is 0.6766806641113142
Iters:  33 ; Mean IoU is 0.6826356967470973
Iters:  33 ; Mean IoU is 0.6826356967470973
Iters:  35 ; Mean IoU is 0.6769721690646022
Iters:  37 ; Mean IoU is 0.6719143284822466
Iters:  38 ; Mean IoU is 0.6878555834543094
Iters:  38 ; Mean IoU is 0.6878555834543094
Iters:  40 ; Mean IoU is 0.6816694738767375
Iters:  41 ; Mean IoU is 0.6814963272802607
Iters:  43 ; Mean IoU is 0.6647108703305447
Iters:  45 ; Mean IoU is 0.6928538098447913
Iters:  45 ; Mean IoU is 0.6928538098447913
Iters:  46 ; Mean IoU is 0.6900239002758793
Iters:  48 ; Mean IoU is 0.6925635546509179
Iters:  50 ; Mean IoU is 0.6913342394140131
Iters:  51 ; Mean IoU is 0.689480861320555
Iters:  53 ; Mean IoU is 0.6892499079766944
Iters:  55 ; Mean IoU is 0.6855301804313202
Iters:  56 ; Mean IoU is 0.6936390215909589
Iters:  56 ; Mean IoU is 0.6936390215909589
Iters:  58 ; Mean IoU is 0.670206308986713
Iters:  60 ; Mean IoU is 0.6975119105902896
Iters:  60 ; Mean IoU is 0.6975119105902896
Iters:  61 ; Mean IoU is 0.6983530746658799
Iters:  61 ; Mean IoU is 0.6983530746658799
Iters:  63 ; Mean IoU is 0.6953955996491283
Iters:  64 ; Mean IoU is 0.6943699742085236
Iters:  66 ; Mean IoU is 0.6930375349584185
Iters:  68 ; Mean IoU is 0.6943140226432977
Iters:  69 ; Mean IoU is 0.700472385896561
Iters:  69 ; Mean IoU is 0.700472385896561
Iters:  71 ; Mean IoU is 0.7022826535304781
Iters:  71 ; Mean IoU is 0.7022826535304781
Iters:  73 ; Mean IoU is 0.697705541363929
Iters:  74 ; Mean IoU is 0.6971633712102677
Iters:  76 ; Mean IoU is 0.6851087438694273
Iters:  78 ; Mean IoU is 0.6971868547359736
Iters:  79 ; Mean IoU is 0.6927355741070298
Iters:  81 ; Mean IoU is 0.6913117573850549
Iters:  82 ; Mean IoU is 0.6965762623053542
Iters:  84 ; Mean IoU is 0.6979033938759113
Iters:  86 ; Mean IoU is 0.6935498895353155
Iters:  87 ; Mean IoU is 0.6976254551986714
Iters:  89 ; Mean IoU is 0.6976854360196696
Iters:  91 ; Mean IoU is 0.701489524599522
Iters:  92 ; Mean IoU is 0.697893349749801
Iters:  94 ; Mean IoU is 0.7008952923979546
Iters:  96 ; Mean IoU is 0.6912470397361588
Iters:  97 ; Mean IoU is 0.6992510446534044
Iters:  99 ; Mean IoU is 0.7002707564203176
Iters:  100 ; Mean IoU is 0.7028208122658202
Iters:  100 ; Mean IoU is 0.7028208122658202
Iters:  102 ; Mean IoU is 0.6964638214419249
Iters:  104 ; Mean IoU is 0.6976922094412857
Iters:  105 ; Mean IoU is 0.701487933091912
Iters:  107 ; Mean IoU is 0.7036374967386292
Iters:  107 ; Mean IoU is 0.7036374967386292
Iters:  109 ; Mean IoU is 0.6991698973112218
Iters:  110 ; Mean IoU is 0.7010811754022731
Iters:  112 ; Mean IoU is 0.7055294904547337
Iters:  112 ; Mean IoU is 0.7055294904547337
Iters:  114 ; Mean IoU is 0.7031367528624008
Iters:  115 ; Mean IoU is 0.697906800723274
Iters:  117 ; Mean IoU is 0.7032154459993313
Iters:  119 ; Mean IoU is 0.7026560030636164
Iters:  120 ; Mean IoU is 0.7028686153843758
Iters:  122 ; Mean IoU is 0.7037404228087871
Iters:  123 ; Mean IoU is 0.6986120677080097
Iters:  125 ; Mean IoU is 0.7050788056970907
Iters:  127 ; Mean IoU is 0.6969007338192673
Iters:  128 ; Mean IoU is 0.6981033218483491
