Iters:  2 ; Mean IoU is 0.480049837392471
Iters:  2 ; Mean IoU is 0.480049837392471
Iters:  4 ; Mean IoU is 0.52975634613324
Iters:  4 ; Mean IoU is 0.52975634613324
Iters:  5 ; Mean IoU is 0.5577732855343442
Iters:  5 ; Mean IoU is 0.5577732855343442
Iters:  7 ; Mean IoU is 0.592298960839347
Iters:  7 ; Mean IoU is 0.592298960839347
Iters:  9 ; Mean IoU is 0.6284345444242471
Iters:  9 ; Mean IoU is 0.6284345444242471
Iters:  10 ; Mean IoU is 0.6060394942037711
Iters:  12 ; Mean IoU is 0.617625208589329
Iters:  14 ; Mean IoU is 0.6392410887680077
Iters:  14 ; Mean IoU is 0.6392410887680077
Iters:  15 ; Mean IoU is 0.6439972088217588
Iters:  15 ; Mean IoU is 0.6439972088217588
Iters:  17 ; Mean IoU is 0.6501772760387646
Iters:  17 ; Mean IoU is 0.6501772760387646
Iters:  19 ; Mean IoU is 0.6634214313007362
Iters:  19 ; Mean IoU is 0.6634214313007362
Iters:  20 ; Mean IoU is 0.660453624272624
Iters:  22 ; Mean IoU is 0.6586517357780304
Iters:  23 ; Mean IoU is 0.6646572783182714
Iters:  23 ; Mean IoU is 0.6646572783182714
Iters:  25 ; Mean IoU is 0.6730783187165966
Iters:  25 ; Mean IoU is 0.6730783187165966
Iters:  27 ; Mean IoU is 0.6759284477354355
Iters:  27 ; Mean IoU is 0.6759284477354355
Iters:  28 ; Mean IoU is 0.663366995193121
Iters:  30 ; Mean IoU is 0.6622801470766171
Iters:  32 ; Mean IoU is 0.6753631467559257
Iters:  33 ; Mean IoU is 0.6797923070707841
Iters:  33 ; Mean IoU is 0.6797923070707841
Iters:  35 ; Mean IoU is 0.6745900934616147
Iters:  37 ; Mean IoU is 0.6744352132937352
Iters:  38 ; Mean IoU is 0.686706729758335
Iters:  38 ; Mean IoU is 0.686706729758335
Iters:  40 ; Mean IoU is 0.6831599203114971
Iters:  41 ; Mean IoU is 0.6799348227946456
Iters:  43 ; Mean IoU is 0.6773930747601008
Iters:  45 ; Mean IoU is 0.6837126115998469
Iters:  46 ; Mean IoU is 0.6776999375372915
Iters:  48 ; Mean IoU is 0.6895836761953437
Iters:  48 ; Mean IoU is 0.6895836761953437
Iters:  50 ; Mean IoU is 0.6879432591773595
Iters:  51 ; Mean IoU is 0.6828179756519276
Iters:  53 ; Mean IoU is 0.6842993154929691
Iters:  55 ; Mean IoU is 0.6741233451880616
Iters:  56 ; Mean IoU is 0.6879941286347165
Iters:  58 ; Mean IoU is 0.6807032014665128
Iters:  60 ; Mean IoU is 0.6895963854752594
Iters:  60 ; Mean IoU is 0.6895963854752594
Iters:  61 ; Mean IoU is 0.6920243309328429
Iters:  61 ; Mean IoU is 0.6920243309328429
Iters:  63 ; Mean IoU is 0.6897647356134493
Iters:  64 ; Mean IoU is 0.6891644249943149
Iters:  66 ; Mean IoU is 0.6906411518158914
Iters:  68 ; Mean IoU is 0.6948937847990191
Iters:  68 ; Mean IoU is 0.6948937847990191
Iters:  69 ; Mean IoU is 0.6981211238862454
Iters:  69 ; Mean IoU is 0.6981211238862454
Iters:  71 ; Mean IoU is 0.6963334226278138
Iters:  73 ; Mean IoU is 0.6934728052751382
Iters:  74 ; Mean IoU is 0.6940872594798672
Iters:  76 ; Mean IoU is 0.6845199557626638
Iters:  78 ; Mean IoU is 0.6958101852178878
Iters:  79 ; Mean IoU is 0.69287212081002
Iters:  81 ; Mean IoU is 0.6886116620417884
Iters:  82 ; Mean IoU is 0.6961723265525617
Iters:  84 ; Mean IoU is 0.6968041058664709
Iters:  86 ; Mean IoU is 0.696311594513343
Iters:  87 ; Mean IoU is 0.6987249702643743
Iters:  87 ; Mean IoU is 0.6987249702643743
Iters:  89 ; Mean IoU is 0.6919429781696588
Iters:  91 ; Mean IoU is 0.6967147619481227
Iters:  92 ; Mean IoU is 0.6982433713917168
Iters:  94 ; Mean IoU is 0.7023087366103311
Iters:  94 ; Mean IoU is 0.7023087366103311
Iters:  96 ; Mean IoU is 0.6954097047438437
Iters:  97 ; Mean IoU is 0.7018202437028144
