Iters:  2 ; Mean IoU is 0.3896420504444865
Iters:  2 ; Mean IoU is 0.3896420504444865
Iters:  4 ; Mean IoU is 0.533243848235398
Iters:  4 ; Mean IoU is 0.533243848235398
Iters:  5 ; Mean IoU is 0.5474767152568332
Iters:  5 ; Mean IoU is 0.5474767152568332
Iters:  7 ; Mean IoU is 0.570712463087359
Iters:  7 ; Mean IoU is 0.570712463087359
Iters:  9 ; Mean IoU is 0.608046871060341
Iters:  9 ; Mean IoU is 0.608046871060341
Iters:  10 ; Mean IoU is 0.6154365521904238
Iters:  10 ; Mean IoU is 0.6154365521904238
Iters:  12 ; Mean IoU is 0.6356651511965786
Iters:  12 ; Mean IoU is 0.6356651511965786
Iters:  14 ; Mean IoU is 0.6490551900419494
Iters:  14 ; Mean IoU is 0.6490551900419494
Iters:  15 ; Mean IoU is 0.6584620303925729
Iters:  15 ; Mean IoU is 0.6584620303925729
Iters:  17 ; Mean IoU is 0.6658048951041566
Iters:  17 ; Mean IoU is 0.6658048951041566
Iters:  19 ; Mean IoU is 0.6333949878066477
Iters:  20 ; Mean IoU is 0.6511414818707044
Iters:  22 ; Mean IoU is 0.6654518954794314
Iters:  23 ; Mean IoU is 0.6630748465057356
Iters:  25 ; Mean IoU is 0.6452688245421672
Iters:  27 ; Mean IoU is 0.6762972367361189
Iters:  27 ; Mean IoU is 0.6762972367361189
Iters:  28 ; Mean IoU is 0.6777779068297064
Iters:  28 ; Mean IoU is 0.6777779068297064
Iters:  30 ; Mean IoU is 0.6734761078222611
Iters:  32 ; Mean IoU is 0.676321582952653
Iters:  33 ; Mean IoU is 0.6743313905908795
Iters:  35 ; Mean IoU is 0.6813015751749022
Iters:  35 ; Mean IoU is 0.6813015751749022
Iters:  37 ; Mean IoU is 0.6733112892226498
Iters:  38 ; Mean IoU is 0.6832721721553335
Iters:  38 ; Mean IoU is 0.6832721721553335
Iters:  40 ; Mean IoU is 0.6863166058284238
Iters:  40 ; Mean IoU is 0.6863166058284238
Iters:  41 ; Mean IoU is 0.6832826286133035
Iters:  43 ; Mean IoU is 0.6865093593651843
Iters:  43 ; Mean IoU is 0.6865093593651843
Iters:  45 ; Mean IoU is 0.6891616225876701
Iters:  45 ; Mean IoU is 0.6891616225876701
Iters:  46 ; Mean IoU is 0.6866000464725264
Iters:  48 ; Mean IoU is 0.6849100419611014
Iters:  50 ; Mean IoU is 0.6913134662702418
Iters:  50 ; Mean IoU is 0.6913134662702418
Iters:  51 ; Mean IoU is 0.6846689342167184
Iters:  53 ; Mean IoU is 0.6731169162843378
Iters:  55 ; Mean IoU is 0.6784820066892665
Iters:  56 ; Mean IoU is 0.6897700002122382
Iters:  58 ; Mean IoU is 0.6862590676082153
Iters:  60 ; Mean IoU is 0.6835598934102539
Iters:  61 ; Mean IoU is 0.6907633556281418
Iters:  63 ; Mean IoU is 0.6921812000233801
Iters:  63 ; Mean IoU is 0.6921812000233801
Iters:  64 ; Mean IoU is 0.6905091313215977
Iters:  66 ; Mean IoU is 0.6970113727423642
Iters:  66 ; Mean IoU is 0.6970113727423642
Iters:  68 ; Mean IoU is 0.6901519178041989
Iters:  69 ; Mean IoU is 0.6952995091715799
Iters:  71 ; Mean IoU is 0.6976973316153964
Iters:  71 ; Mean IoU is 0.6976973316153964
Iters:  73 ; Mean IoU is 0.691851514542069
Iters:  74 ; Mean IoU is 0.698870076163055
Iters:  74 ; Mean IoU is 0.698870076163055
Iters:  76 ; Mean IoU is 0.6928346676386108
Iters:  78 ; Mean IoU is 0.6896180495910625
Iters:  79 ; Mean IoU is 0.6956406095689154
Iters:  81 ; Mean IoU is 0.6952626068864125
Iters:  82 ; Mean IoU is 0.6913505698985625
Iters:  84 ; Mean IoU is 0.6962971976143011
Iters:  86 ; Mean IoU is 0.6963995806255976
Iters:  87 ; Mean IoU is 0.698070463798595
Iters:  89 ; Mean IoU is 0.6962389706671039
Iters:  91 ; Mean IoU is 0.6944607733998095
Iters:  92 ; Mean IoU is 0.6955802858436057
Iters:  94 ; Mean IoU is 0.6938789342547912
Iters:  96 ; Mean IoU is 0.695989767200944
Iters:  97 ; Mean IoU is 0.6971368052373053
Iters:  99 ; Mean IoU is 0.7004388578306789
Iters:  99 ; Mean IoU is 0.7004388578306789
Iters:  100 ; Mean IoU is 0.6960850131154324
Iters:  102 ; Mean IoU is 0.691025625372442
Iters:  104 ; Mean IoU is 0.6994716689190118
Iters:  105 ; Mean IoU is 0.6975965379922868
Iters:  107 ; Mean IoU is 0.6951524859269862
Iters:  109 ; Mean IoU is 0.6985608990448521
Iters:  110 ; Mean IoU is 0.6971835346076398
Iters:  112 ; Mean IoU is 0.6981323890396863
Iters:  114 ; Mean IoU is 0.6994432391609468
Iters:  115 ; Mean IoU is 0.6931893643304397
Iters:  117 ; Mean IoU is 0.6993915106624344
Iters:  119 ; Mean IoU is 0.7027652773501126
Iters:  119 ; Mean IoU is 0.7027652773501126
Iters:  120 ; Mean IoU is 0.7011102053417733
Iters:  122 ; Mean IoU is 0.7010218901746739
Iters:  123 ; Mean IoU is 0.6988611558557414
Iters:  125 ; Mean IoU is 0.6958362734182009
Iters:  127 ; Mean IoU is 0.6993587853174624
Iters:  128 ; Mean IoU is 0.7014734000159448
Iters:  130 ; Mean IoU is 0.7013135037213805
Iters:  132 ; Mean IoU is 0.702189548237049
Iters:  133 ; Mean IoU is 0.7016272504970321
Iters:  135 ; Mean IoU is 0.7034909958940047
Iters:  135 ; Mean IoU is 0.7034909958940047
Iters:  137 ; Mean IoU is 0.7004339381274389
Iters:  138 ; Mean IoU is 0.7020235977676647
Iters:  140 ; Mean IoU is 0.7036377443921852
Iters:  140 ; Mean IoU is 0.7036377443921852
Iters:  141 ; Mean IoU is 0.7026085436276754
Iters:  143 ; Mean IoU is 0.702513963829839
Iters:  145 ; Mean IoU is 0.7047710683183995
Iters:  145 ; Mean IoU is 0.7047710683183995
Iters:  146 ; Mean IoU is 0.7046864064121551
Iters:  148 ; Mean IoU is 0.7059686371273065
Iters:  148 ; Mean IoU is 0.7059686371273065
Iters:  150 ; Mean IoU is 0.7041989227474768
Iters:  151 ; Mean IoU is 0.6979766082233456
Iters:  153 ; Mean IoU is 0.7008136639267086
Iters:  155 ; Mean IoU is 0.7005809628875478
Iters:  156 ; Mean IoU is 0.6982948351597584
Iters:  158 ; Mean IoU is 0.7032581736110063
Iters:  160 ; Mean IoU is 0.7022970595291677
Iters:  161 ; Mean IoU is 0.7028891369837912
Iters:  163 ; Mean IoU is 0.700688999584884
Iters:  164 ; Mean IoU is 0.7039885353885802
Iters:  166 ; Mean IoU is 0.7014785744159575
Iters:  168 ; Mean IoU is 0.7034962657498633
Iters:  169 ; Mean IoU is 0.7051693584154234
Iters:  171 ; Mean IoU is 0.705054506237875
Iters:  173 ; Mean IoU is 0.7035546409855402
Iters:  174 ; Mean IoU is 0.7046312271912657
Iters:  176 ; Mean IoU is 0.7046667250179716
Iters:  178 ; Mean IoU is 0.7066691051733818
Iters:  178 ; Mean IoU is 0.7066691051733818
Iters:  179 ; Mean IoU is 0.705239387641281
Iters:  181 ; Mean IoU is 0.7057259876037099
Iters:  182 ; Mean IoU is 0.7041705358497412
Iters:  184 ; Mean IoU is 0.7059711044739339
Iters:  186 ; Mean IoU is 0.7050786166268606
Iters:  187 ; Mean IoU is 0.7044348489514402
Iters:  189 ; Mean IoU is 0.7033285795015898
Iters:  191 ; Mean IoU is 0.7031464913280304
Iters:  192 ; Mean IoU is 0.7029327175026151
Iters:  194 ; Mean IoU is 0.704732886685053
Iters:  196 ; Mean IoU is 0.7032957910977027
Iters:  197 ; Mean IoU is 0.7054081669674862
Iters:  199 ; Mean IoU is 0.7050739840512964
Iters:  200 ; Mean IoU is 0.7036904377930164
Iters:  202 ; Mean IoU is 0.7002407244103837
Iters:  204 ; Mean IoU is 0.7063325235313549
Iters:  205 ; Mean IoU is 0.7058461157140637
Iters:  207 ; Mean IoU is 0.7049374658549241
Iters:  209 ; Mean IoU is 0.7016791973699118
Iters:  210 ; Mean IoU is 0.7014609571987644
Iters:  212 ; Mean IoU is 0.7034612130948027
Iters:  214 ; Mean IoU is 0.7052055328634662
