Iters:  3 ; Mean IoU is 0.5240820603622021
Iters:  3 ; Mean IoU is 0.5240820603622021
Iters:  5 ; Mean IoU is 0.5616446333272376
Iters:  5 ; Mean IoU is 0.5616446333272376
Iters:  7 ; Mean IoU is 0.5790794964237458
Iters:  7 ; Mean IoU is 0.5790794964237458
Iters:  9 ; Mean IoU is 0.5937434760346397
Iters:  9 ; Mean IoU is 0.5937434760346397
Iters:  11 ; Mean IoU is 0.597680070549036
Iters:  11 ; Mean IoU is 0.597680070549036
Iters:  14 ; Mean IoU is 0.6097186800565293
Iters:  14 ; Mean IoU is 0.6097186800565293
Iters:  16 ; Mean IoU is 0.6261622291505636
Iters:  16 ; Mean IoU is 0.6261622291505636
Iters:  18 ; Mean IoU is 0.6446221701861088
Iters:  18 ; Mean IoU is 0.6446221701861088
Iters:  20 ; Mean IoU is 0.645777463480284
Iters:  20 ; Mean IoU is 0.645777463480284
Iters:  22 ; Mean IoU is 0.6491182293899118
Iters:  22 ; Mean IoU is 0.6491182293899118
Iters:  25 ; Mean IoU is 0.6400004175946402
Iters:  27 ; Mean IoU is 0.648022992954524
Iters:  29 ; Mean IoU is 0.6447425872394852
Iters:  31 ; Mean IoU is 0.6541242369263025
Iters:  31 ; Mean IoU is 0.6541242369263025
Iters:  33 ; Mean IoU is 0.6532021788627722
Iters:  36 ; Mean IoU is 0.6564574269065181
Iters:  36 ; Mean IoU is 0.6564574269065181
Iters:  38 ; Mean IoU is 0.667307473782208
Iters:  38 ; Mean IoU is 0.667307473782208
Iters:  40 ; Mean IoU is 0.6609547620663748
Iters:  42 ; Mean IoU is 0.6637214117216718
Iters:  44 ; Mean IoU is 0.6674112294230753
Iters:  44 ; Mean IoU is 0.6674112294230753
Iters:  47 ; Mean IoU is 0.6641012547663961
Iters:  49 ; Mean IoU is 0.6720575793987119
Iters:  49 ; Mean IoU is 0.6720575793987119
Iters:  51 ; Mean IoU is 0.665577194011186
Iters:  53 ; Mean IoU is 0.6649197511075887
Iters:  55 ; Mean IoU is 0.6695993855295597
Iters:  58 ; Mean IoU is 0.6701058805368604
Iters:  60 ; Mean IoU is 0.6716395686446
Iters:  62 ; Mean IoU is 0.6727710084827168
Iters:  62 ; Mean IoU is 0.6727710084827168
Iters:  64 ; Mean IoU is 0.6716021143208747
