Iters:  2 ; Mean IoU is 0.48803163356219886
Iters:  2 ; Mean IoU is 0.48803163356219886
Iters:  4 ; Mean IoU is 0.5616137590065392
Iters:  4 ; Mean IoU is 0.5616137590065392
Iters:  5 ; Mean IoU is 0.5875555481521089
Iters:  5 ; Mean IoU is 0.5875555481521089
Iters:  7 ; Mean IoU is 0.6085775863819329
Iters:  7 ; Mean IoU is 0.6085775863819329
Iters:  9 ; Mean IoU is 0.6122749784735102
Iters:  9 ; Mean IoU is 0.6122749784735102
Iters:  10 ; Mean IoU is 0.6241003847865254
Iters:  10 ; Mean IoU is 0.6241003847865254
Iters:  12 ; Mean IoU is 0.6469815754867569
Iters:  12 ; Mean IoU is 0.6469815754867569
Iters:  14 ; Mean IoU is 0.6463151361073068
Iters:  15 ; Mean IoU is 0.6499779734801073
Iters:  15 ; Mean IoU is 0.6499779734801073
Iters:  17 ; Mean IoU is 0.6627511483656785
Iters:  17 ; Mean IoU is 0.6627511483656785
Iters:  19 ; Mean IoU is 0.6580482607141365
Iters:  20 ; Mean IoU is 0.6564941159331246
Iters:  22 ; Mean IoU is 0.6631871003969545
Iters:  22 ; Mean IoU is 0.6631871003969545
Iters:  23 ; Mean IoU is 0.6726375910338485
Iters:  23 ; Mean IoU is 0.6726375910338485
Iters:  25 ; Mean IoU is 0.6616561897324237
Iters:  27 ; Mean IoU is 0.6772681782613672
Iters:  27 ; Mean IoU is 0.6772681782613672
Iters:  28 ; Mean IoU is 0.685333081030554
Iters:  28 ; Mean IoU is 0.685333081030554
Iters:  30 ; Mean IoU is 0.676571319492353
Iters:  32 ; Mean IoU is 0.6749985403475639
Iters:  33 ; Mean IoU is 0.6550917611071435
Iters:  35 ; Mean IoU is 0.6673556612924821
Iters:  37 ; Mean IoU is 0.6773814219793403
Iters:  38 ; Mean IoU is 0.6753063475129625
Iters:  40 ; Mean IoU is 0.6593246659258986
Iters:  41 ; Mean IoU is 0.6840609221476096
Iters:  43 ; Mean IoU is 0.6723454696924792
Iters:  45 ; Mean IoU is 0.6540924108463302
Iters:  46 ; Mean IoU is 0.6781879665067511
Iters:  48 ; Mean IoU is 0.6777269753413834
Iters:  50 ; Mean IoU is 0.6749180151555956
Iters:  51 ; Mean IoU is 0.6821073258683474
Iters:  53 ; Mean IoU is 0.6754066423871391
Iters:  55 ; Mean IoU is 0.688068082842638
Iters:  55 ; Mean IoU is 0.688068082842638
Iters:  56 ; Mean IoU is 0.6792814967167239
Iters:  58 ; Mean IoU is 0.6903268793068046
Iters:  58 ; Mean IoU is 0.6903268793068046
Iters:  60 ; Mean IoU is 0.692611249652537
Iters:  60 ; Mean IoU is 0.692611249652537
Iters:  61 ; Mean IoU is 0.6918644774833044
Iters:  63 ; Mean IoU is 0.6933228280851963
Iters:  63 ; Mean IoU is 0.6933228280851963
Iters:  64 ; Mean IoU is 0.6956331323829344
Iters:  64 ; Mean IoU is 0.6956331323829344
Iters:  66 ; Mean IoU is 0.6985852248011897
Iters:  66 ; Mean IoU is 0.6985852248011897
Iters:  68 ; Mean IoU is 0.6906889317910502
Iters:  69 ; Mean IoU is 0.697575161948537
Iters:  71 ; Mean IoU is 0.697788132710149
Iters:  73 ; Mean IoU is 0.6917581463978801
Iters:  74 ; Mean IoU is 0.6954623594283286
Iters:  76 ; Mean IoU is 0.6924357264291201
Iters:  78 ; Mean IoU is 0.6924372230816177
Iters:  79 ; Mean IoU is 0.6970312130181961
Iters:  81 ; Mean IoU is 0.6967750636887635
Iters:  82 ; Mean IoU is 0.6964232712266275
Iters:  84 ; Mean IoU is 0.700941483307353
Iters:  84 ; Mean IoU is 0.700941483307353
Iters:  86 ; Mean IoU is 0.6901953446077848
Iters:  87 ; Mean IoU is 0.7008366535383744
Iters:  89 ; Mean IoU is 0.6995272184652604
Iters:  91 ; Mean IoU is 0.6943360151310829
Iters:  92 ; Mean IoU is 0.6970401198151651
Iters:  94 ; Mean IoU is 0.6983862687866196
Iters:  96 ; Mean IoU is 0.7001402174953087
Iters:  97 ; Mean IoU is 0.689277445490947
Iters:  99 ; Mean IoU is 0.6989984268770222
Iters:  100 ; Mean IoU is 0.7003287110829746
Iters:  102 ; Mean IoU is 0.7026358138633351
Iters:  102 ; Mean IoU is 0.7026358138633351
Iters:  104 ; Mean IoU is 0.7024772596273289
Iters:  105 ; Mean IoU is 0.6915989470088084
Iters:  107 ; Mean IoU is 0.7012699370311904
Iters:  109 ; Mean IoU is 0.7016912386058283
Iters:  110 ; Mean IoU is 0.7020303386726889
Iters:  112 ; Mean IoU is 0.7024511473254771
Iters:  114 ; Mean IoU is 0.7018084731496012
Iters:  115 ; Mean IoU is 0.7047746661999773
Iters:  115 ; Mean IoU is 0.7047746661999773
Iters:  117 ; Mean IoU is 0.7029903455009373
Iters:  119 ; Mean IoU is 0.7006695238057787
Iters:  120 ; Mean IoU is 0.7038923156208552
Iters:  122 ; Mean IoU is 0.7062025479738859
Iters:  122 ; Mean IoU is 0.7062025479738859
Iters:  123 ; Mean IoU is 0.70500389084592
Iters:  125 ; Mean IoU is 0.7037336534160437
Iters:  127 ; Mean IoU is 0.7000477603042511
Iters:  128 ; Mean IoU is 0.7061944236108806
Iters:  130 ; Mean IoU is 0.7033829237640963
Iters:  132 ; Mean IoU is 0.7042131743124144
Iters:  133 ; Mean IoU is 0.7031137006964786
Iters:  135 ; Mean IoU is 0.7044476610873402
Iters:  137 ; Mean IoU is 0.7047438864750889
Iters:  138 ; Mean IoU is 0.7061921256109847
Iters:  140 ; Mean IoU is 0.7042703735029824
Iters:  141 ; Mean IoU is 0.7058401340286393
Iters:  143 ; Mean IoU is 0.7018765792255643
Iters:  145 ; Mean IoU is 0.7031064651768513
Iters:  146 ; Mean IoU is 0.69996091563095
Iters:  148 ; Mean IoU is 0.7039521252533596
Iters:  150 ; Mean IoU is 0.7031908264076934
Iters:  151 ; Mean IoU is 0.7009172945595226
Iters:  153 ; Mean IoU is 0.7034405239564622
Iters:  155 ; Mean IoU is 0.7039435171640859
Iters:  156 ; Mean IoU is 0.7053367083243334
Iters:  158 ; Mean IoU is 0.7058625684455514
Iters:  160 ; Mean IoU is 0.7064614790937385
Iters:  160 ; Mean IoU is 0.7064614790937385
Iters:  161 ; Mean IoU is 0.7056101408981189
Iters:  163 ; Mean IoU is 0.7069755160493063
Iters:  163 ; Mean IoU is 0.7069755160493063
Iters:  164 ; Mean IoU is 0.7037301781479224
Iters:  166 ; Mean IoU is 0.7052567071348577
Iters:  168 ; Mean IoU is 0.7022494766967983
Iters:  169 ; Mean IoU is 0.703610800403022
Iters:  171 ; Mean IoU is 0.7059445628421409
Iters:  173 ; Mean IoU is 0.6861405068939392
Iters:  174 ; Mean IoU is 0.7063522980822311
Iters:  176 ; Mean IoU is 0.7043458417707169
Iters:  178 ; Mean IoU is 0.7039073467832085
Iters:  179 ; Mean IoU is 0.7070960665140275
Iters:  179 ; Mean IoU is 0.7070960665140275
Iters:  181 ; Mean IoU is 0.7058835760974604
Iters:  182 ; Mean IoU is 0.7084379139201931
Iters:  182 ; Mean IoU is 0.7084379139201931
Iters:  184 ; Mean IoU is 0.706797333780988
Iters:  186 ; Mean IoU is 0.7066489287895463
Iters:  187 ; Mean IoU is 0.7040041471951397
Iters:  189 ; Mean IoU is 0.7055753319328959
Iters:  191 ; Mean IoU is 0.7050111111468329
Iters:  192 ; Mean IoU is 0.7041701808353912
Iters:  194 ; Mean IoU is 0.7072946076844302
Iters:  196 ; Mean IoU is 0.7070264072787623
Iters:  197 ; Mean IoU is 0.706221717440458
Iters:  199 ; Mean IoU is 0.7083313579356013
Iters:  200 ; Mean IoU is 0.7064267531556541
Iters:  202 ; Mean IoU is 0.7081447314904418
Iters:  204 ; Mean IoU is 0.7071619794618689
Iters:  205 ; Mean IoU is 0.7061687306509402
Iters:  207 ; Mean IoU is 0.7065997574359711
Iters:  209 ; Mean IoU is 0.706157263722205
Iters:  210 ; Mean IoU is 0.7065255754303721
Iters:  212 ; Mean IoU is 0.7056805076792243
Iters:  214 ; Mean IoU is 0.7080986985835371
Iters:  215 ; Mean IoU is 0.7060152190826883
Iters:  217 ; Mean IoU is 0.7073350814870369
Iters:  219 ; Mean IoU is 0.7072119294599578
Iters:  220 ; Mean IoU is 0.7072189482249306
Iters:  222 ; Mean IoU is 0.70731718616493
Iters:  223 ; Mean IoU is 0.707946445389186
Iters:  225 ; Mean IoU is 0.7078855268844852
Iters:  227 ; Mean IoU is 0.7064892759064889
Iters:  228 ; Mean IoU is 0.710580152381631
Iters:  228 ; Mean IoU is 0.710580152381631
Iters:  230 ; Mean IoU is 0.7077181051125138
Iters:  232 ; Mean IoU is 0.7092808182980804
Iters:  233 ; Mean IoU is 0.707591455550079
Iters:  235 ; Mean IoU is 0.7089330211751719
Iters:  237 ; Mean IoU is 0.7063912599883395
Iters:  238 ; Mean IoU is 0.707969582603714
Iters:  240 ; Mean IoU is 0.7102346142288302
Iters:  241 ; Mean IoU is 0.7075956586503868
Iters:  243 ; Mean IoU is 0.706017409544045
Iters:  245 ; Mean IoU is 0.7083953831540809
Iters:  246 ; Mean IoU is 0.7072438189228238
Iters:  248 ; Mean IoU is 0.7062612164477107
Iters:  250 ; Mean IoU is 0.7077455578182349
Iters:  251 ; Mean IoU is 0.7079564309411677
Iters:  253 ; Mean IoU is 0.708260425817699
Iters:  255 ; Mean IoU is 0.7091942810320548
Iters:  256 ; Mean IoU is 0.7086343546725263
Iters:  258 ; Mean IoU is 0.7072249436903911
Iters:  260 ; Mean IoU is 0.7079593390928145
Iters:  261 ; Mean IoU is 0.7089632501581502
Iters:  263 ; Mean IoU is 0.7082975429304541
Iters:  264 ; Mean IoU is 0.7092034605914199
Iters:  266 ; Mean IoU is 0.7095672481829517
Iters:  268 ; Mean IoU is 0.70859373825412
Iters:  269 ; Mean IoU is 0.708743940928868
Iters:  271 ; Mean IoU is 0.7079081844085168
Iters:  273 ; Mean IoU is 0.7100449858050678
Iters:  274 ; Mean IoU is 0.7106396871786549
Iters:  274 ; Mean IoU is 0.7106396871786549
Iters:  276 ; Mean IoU is 0.7067821636110365
Iters:  278 ; Mean IoU is 0.7069071324272946
Iters:  279 ; Mean IoU is 0.7087174963326246
Iters:  281 ; Mean IoU is 0.7077296333111721
Iters:  282 ; Mean IoU is 0.7070397678588382
Iters:  284 ; Mean IoU is 0.7100084904988821
Iters:  286 ; Mean IoU is 0.7075152302857068
Iters:  287 ; Mean IoU is 0.7083371746639398
Iters:  289 ; Mean IoU is 0.7079158881499883
Iters:  291 ; Mean IoU is 0.7072611418353961
Iters:  292 ; Mean IoU is 0.7093900903011694
Iters:  294 ; Mean IoU is 0.7078832734860109
Iters:  296 ; Mean IoU is 0.7096495307711927
Iters:  297 ; Mean IoU is 0.7088745179132961
Iters:  299 ; Mean IoU is 0.7079781500550311
Iters:  300 ; Mean IoU is 0.7093893138514549
Iters:  302 ; Mean IoU is 0.7090203058354186
Iters:  304 ; Mean IoU is 0.7089767887618411
Iters:  305 ; Mean IoU is 0.7084585483562221
Iters:  307 ; Mean IoU is 0.7080281901870681
