Iters:  2 ; Mean IoU is 0.44393961092709505
Iters:  2 ; Mean IoU is 0.44393961092709505
Iters:  4 ; Mean IoU is 0.5568572523220731
Iters:  4 ; Mean IoU is 0.5568572523220731
Iters:  5 ; Mean IoU is 0.5937016890351148
Iters:  5 ; Mean IoU is 0.5937016890351148
Iters:  7 ; Mean IoU is 0.5870357526013604
Iters:  9 ; Mean IoU is 0.6019451511236246
Iters:  9 ; Mean IoU is 0.6019451511236246
Iters:  10 ; Mean IoU is 0.6243277848151273
Iters:  10 ; Mean IoU is 0.6243277848151273
Iters:  12 ; Mean IoU is 0.6354869160712283
Iters:  12 ; Mean IoU is 0.6354869160712283
Iters:  14 ; Mean IoU is 0.6186637920987137
Iters:  15 ; Mean IoU is 0.6438151874649217
Iters:  15 ; Mean IoU is 0.6438151874649217
Iters:  17 ; Mean IoU is 0.6534378826754166
Iters:  17 ; Mean IoU is 0.6534378826754166
Iters:  19 ; Mean IoU is 0.6549596980098646
Iters:  19 ; Mean IoU is 0.6549596980098646
Iters:  20 ; Mean IoU is 0.6559181926462618
Iters:  20 ; Mean IoU is 0.6559181926462618
Iters:  22 ; Mean IoU is 0.6747240429340644
Iters:  22 ; Mean IoU is 0.6747240429340644
Iters:  23 ; Mean IoU is 0.6505341219540499
Iters:  25 ; Mean IoU is 0.6642296853309829
Iters:  27 ; Mean IoU is 0.6754224441721284
Iters:  27 ; Mean IoU is 0.6754224441721284
Iters:  28 ; Mean IoU is 0.65183180993661
Iters:  30 ; Mean IoU is 0.671959568816437
Iters:  32 ; Mean IoU is 0.6893868546147509
Iters:  32 ; Mean IoU is 0.6893868546147509
Iters:  33 ; Mean IoU is 0.677128724557626
Iters:  35 ; Mean IoU is 0.680984402885991
Iters:  37 ; Mean IoU is 0.6864155656267262
Iters:  38 ; Mean IoU is 0.6626857083514892
Iters:  40 ; Mean IoU is 0.6819901768069636
Iters:  41 ; Mean IoU is 0.654808389210781
Iters:  43 ; Mean IoU is 0.6875011398814171
Iters:  45 ; Mean IoU is 0.6908396022337591
Iters:  45 ; Mean IoU is 0.6908396022337591
Iters:  46 ; Mean IoU is 0.6825890240860542
Iters:  48 ; Mean IoU is 0.6876874155940749
Iters:  50 ; Mean IoU is 0.6913126561893704
Iters:  50 ; Mean IoU is 0.6913126561893704
Iters:  51 ; Mean IoU is 0.6878817022677172
Iters:  53 ; Mean IoU is 0.6883367117814737
Iters:  55 ; Mean IoU is 0.693492720977008
Iters:  55 ; Mean IoU is 0.693492720977008
Iters:  56 ; Mean IoU is 0.6887401236321735
Iters:  58 ; Mean IoU is 0.6168546968958272
Iters:  60 ; Mean IoU is 0.6944219407466704
Iters:  60 ; Mean IoU is 0.6944219407466704
Iters:  61 ; Mean IoU is 0.6923099056435148
Iters:  63 ; Mean IoU is 0.6967586551743792
Iters:  63 ; Mean IoU is 0.6967586551743792
Iters:  64 ; Mean IoU is 0.69570976487029
Iters:  66 ; Mean IoU is 0.6938205669181136
Iters:  68 ; Mean IoU is 0.6987378905343018
Iters:  68 ; Mean IoU is 0.6987378905343018
Iters:  69 ; Mean IoU is 0.6956680002201358
Iters:  71 ; Mean IoU is 0.6892018311955511
Iters:  73 ; Mean IoU is 0.6903659816602875
Iters:  74 ; Mean IoU is 0.695338670230288
Iters:  76 ; Mean IoU is 0.6951508035969556
Iters:  78 ; Mean IoU is 0.7025341861881088
Iters:  78 ; Mean IoU is 0.7025341861881088
Iters:  79 ; Mean IoU is 0.6582706000229792
Iters:  81 ; Mean IoU is 0.6899113306816004
Iters:  82 ; Mean IoU is 0.6971790543320129
Iters:  84 ; Mean IoU is 0.6948880261830799
Iters:  86 ; Mean IoU is 0.7012884610650876
Iters:  87 ; Mean IoU is 0.6984831313727906
Iters:  89 ; Mean IoU is 0.6942320753310165
Iters:  91 ; Mean IoU is 0.6986975325198121
Iters:  92 ; Mean IoU is 0.7021531577176342
Iters:  94 ; Mean IoU is 0.7028907969698077
Iters:  94 ; Mean IoU is 0.7028907969698077
Iters:  96 ; Mean IoU is 0.7004191506947572
Iters:  97 ; Mean IoU is 0.7038588813023023
Iters:  97 ; Mean IoU is 0.7038588813023023
Iters:  99 ; Mean IoU is 0.7024095550444153
Iters:  100 ; Mean IoU is 0.7034899745165399
Iters:  102 ; Mean IoU is 0.6956351352253595
Iters:  104 ; Mean IoU is 0.7035009232068147
Iters:  105 ; Mean IoU is 0.701893594835188
Iters:  107 ; Mean IoU is 0.7037862447478165
Iters:  109 ; Mean IoU is 0.7011475074154812
Iters:  110 ; Mean IoU is 0.7030016832304294
Iters:  112 ; Mean IoU is 0.7027851132790117
Iters:  114 ; Mean IoU is 0.6987733053446282
Iters:  115 ; Mean IoU is 0.7016858650079134
Iters:  117 ; Mean IoU is 0.7019977462179249
Iters:  119 ; Mean IoU is 0.7036975061201611
Iters:  120 ; Mean IoU is 0.7036541093243057
Iters:  122 ; Mean IoU is 0.7035109784516522
Iters:  123 ; Mean IoU is 0.7039416100412491
Iters:  123 ; Mean IoU is 0.7039416100412491
Iters:  125 ; Mean IoU is 0.7006429761171464
Iters:  127 ; Mean IoU is 0.7043199317369828
Iters:  127 ; Mean IoU is 0.7043199317369828
Iters:  128 ; Mean IoU is 0.7009678304432738
Iters:  130 ; Mean IoU is 0.6995620077435787
Iters:  132 ; Mean IoU is 0.7051315030683948
Iters:  132 ; Mean IoU is 0.7051315030683948
Iters:  133 ; Mean IoU is 0.7059068252505103
Iters:  133 ; Mean IoU is 0.7059068252505103
Iters:  135 ; Mean IoU is 0.7009082115626433
Iters:  137 ; Mean IoU is 0.703618786183952
Iters:  138 ; Mean IoU is 0.7066277995831947
Iters:  138 ; Mean IoU is 0.7066277995831947
Iters:  140 ; Mean IoU is 0.706328196076868
Iters:  141 ; Mean IoU is 0.7024254294275335
Iters:  143 ; Mean IoU is 0.7023755889366581
Iters:  145 ; Mean IoU is 0.7045796586628486
Iters:  146 ; Mean IoU is 0.7005950492599956
Iters:  148 ; Mean IoU is 0.7030264993520374
Iters:  150 ; Mean IoU is 0.7061883224822222
Iters:  151 ; Mean IoU is 0.7039563972846603
Iters:  153 ; Mean IoU is 0.7033439997259426
Iters:  155 ; Mean IoU is 0.703910589754981
Iters:  156 ; Mean IoU is 0.7011598030626776
Iters:  158 ; Mean IoU is 0.705049261814147
Iters:  160 ; Mean IoU is 0.7061883162730327
Iters:  161 ; Mean IoU is 0.7050007333734596
Iters:  163 ; Mean IoU is 0.7047230394335662
Iters:  164 ; Mean IoU is 0.7080166618210124
Iters:  164 ; Mean IoU is 0.7080166618210124
Iters:  166 ; Mean IoU is 0.7083703622796518
Iters:  166 ; Mean IoU is 0.7083703622796518
Iters:  168 ; Mean IoU is 0.7052477104416649
Iters:  169 ; Mean IoU is 0.7094779330836415
Iters:  169 ; Mean IoU is 0.7094779330836415
Iters:  171 ; Mean IoU is 0.69565067435126
Iters:  173 ; Mean IoU is 0.7003190510771509
Iters:  174 ; Mean IoU is 0.7003682515876996
Iters:  176 ; Mean IoU is 0.70155774057695
Iters:  178 ; Mean IoU is 0.7019078342462165
Iters:  179 ; Mean IoU is 0.7018688465815769
Iters:  181 ; Mean IoU is 0.7042573657236162
Iters:  182 ; Mean IoU is 0.7047346732785497
Iters:  184 ; Mean IoU is 0.704045984471582
Iters:  186 ; Mean IoU is 0.7042498448614275
Iters:  187 ; Mean IoU is 0.702977448390641
Iters:  189 ; Mean IoU is 0.7023488256653054
