Iters:  2 ; Mean IoU is 0.5213365193509342
Iters:  2 ; Mean IoU is 0.5213365193509342
Iters:  4 ; Mean IoU is 0.5212698332227497
Iters:  5 ; Mean IoU is 0.5678928285923602
Iters:  5 ; Mean IoU is 0.5678928285923602
Iters:  7 ; Mean IoU is 0.58402414954897
Iters:  7 ; Mean IoU is 0.58402414954897
Iters:  9 ; Mean IoU is 0.593729465396609
Iters:  9 ; Mean IoU is 0.593729465396609
Iters:  10 ; Mean IoU is 0.614330921292349
Iters:  10 ; Mean IoU is 0.614330921292349
Iters:  12 ; Mean IoU is 0.6121124305215198
Iters:  14 ; Mean IoU is 0.6386189684742829
Iters:  14 ; Mean IoU is 0.6386189684742829
Iters:  15 ; Mean IoU is 0.648191776998004
Iters:  15 ; Mean IoU is 0.648191776998004
Iters:  17 ; Mean IoU is 0.6399427794796856
Iters:  19 ; Mean IoU is 0.6448841837941933
Iters:  20 ; Mean IoU is 0.6541533813792032
Iters:  20 ; Mean IoU is 0.6541533813792032
Iters:  22 ; Mean IoU is 0.6535723593677881
Iters:  23 ; Mean IoU is 0.6563078816048934
Iters:  23 ; Mean IoU is 0.6563078816048934
Iters:  25 ; Mean IoU is 0.6760444766543012
Iters:  25 ; Mean IoU is 0.6760444766543012
Iters:  27 ; Mean IoU is 0.6820550356276217
Iters:  27 ; Mean IoU is 0.6820550356276217
Iters:  28 ; Mean IoU is 0.6729055662536154
Iters:  30 ; Mean IoU is 0.6759334194040245
Iters:  32 ; Mean IoU is 0.6800236823719134
Iters:  33 ; Mean IoU is 0.6737914729490136
Iters:  35 ; Mean IoU is 0.6792780019701274
Iters:  37 ; Mean IoU is 0.6741701306379839
Iters:  38 ; Mean IoU is 0.6814144251224501
Iters:  40 ; Mean IoU is 0.6874601069958548
Iters:  40 ; Mean IoU is 0.6874601069958548
Iters:  41 ; Mean IoU is 0.6780862481040574
Iters:  43 ; Mean IoU is 0.6802444404848238
Iters:  45 ; Mean IoU is 0.6933635327042053
Iters:  45 ; Mean IoU is 0.6933635327042053
Iters:  46 ; Mean IoU is 0.6904234517012794
Iters:  48 ; Mean IoU is 0.6937703971487813
Iters:  48 ; Mean IoU is 0.6937703971487813
Iters:  50 ; Mean IoU is 0.696812530252056
Iters:  50 ; Mean IoU is 0.696812530252056
Iters:  51 ; Mean IoU is 0.6968786516513926
Iters:  51 ; Mean IoU is 0.6968786516513926
Iters:  53 ; Mean IoU is 0.6990354736040838
Iters:  53 ; Mean IoU is 0.6990354736040838
