Iters:  2 ; Mean IoU is 0.5067941632427329
Iters:  2 ; Mean IoU is 0.5067941632427329
Iters:  4 ; Mean IoU is 0.5677707122929627
Iters:  4 ; Mean IoU is 0.5677707122929627
Iters:  5 ; Mean IoU is 0.558073832131616
Iters:  7 ; Mean IoU is 0.5704936004208394
Iters:  7 ; Mean IoU is 0.5704936004208394
Iters:  9 ; Mean IoU is 0.5918009858291378
Iters:  9 ; Mean IoU is 0.5918009858291378
Iters:  10 ; Mean IoU is 0.6153171713597982
Iters:  10 ; Mean IoU is 0.6153171713597982
Iters:  12 ; Mean IoU is 0.6342312392976337
Iters:  12 ; Mean IoU is 0.6342312392976337
Iters:  14 ; Mean IoU is 0.6119107658235857
Iters:  15 ; Mean IoU is 0.6487054046015956
Iters:  15 ; Mean IoU is 0.6487054046015956
Iters:  17 ; Mean IoU is 0.644189130582015
Iters:  19 ; Mean IoU is 0.6513008821771976
Iters:  19 ; Mean IoU is 0.6513008821771976
Iters:  20 ; Mean IoU is 0.6494831827942631
Iters:  22 ; Mean IoU is 0.661303481844694
Iters:  22 ; Mean IoU is 0.661303481844694
Iters:  23 ; Mean IoU is 0.6599880168301163
Iters:  25 ; Mean IoU is 0.6713468100313167
Iters:  25 ; Mean IoU is 0.6713468100313167
Iters:  27 ; Mean IoU is 0.6790833698024071
Iters:  27 ; Mean IoU is 0.6790833698024071
Iters:  28 ; Mean IoU is 0.6659634289765856
Iters:  30 ; Mean IoU is 0.6727413635740853
Iters:  32 ; Mean IoU is 0.6788607869591217
Iters:  33 ; Mean IoU is 0.6795078316731435
Iters:  33 ; Mean IoU is 0.6795078316731435
Iters:  35 ; Mean IoU is 0.6822971326443733
Iters:  35 ; Mean IoU is 0.6822971326443733
Iters:  37 ; Mean IoU is 0.6690338706541713
Iters:  38 ; Mean IoU is 0.671198771884158
Iters:  40 ; Mean IoU is 0.6803172426136976
Iters:  41 ; Mean IoU is 0.6777278516089094
Iters:  43 ; Mean IoU is 0.6742408682650881
Iters:  45 ; Mean IoU is 0.6879663864234794
Iters:  45 ; Mean IoU is 0.6879663864234794
Iters:  46 ; Mean IoU is 0.6853079646865579
Iters:  48 ; Mean IoU is 0.6886913582009134
Iters:  48 ; Mean IoU is 0.6886913582009134
Iters:  50 ; Mean IoU is 0.6843439225235423
Iters:  51 ; Mean IoU is 0.6916475607967106
Iters:  51 ; Mean IoU is 0.6916475607967106
Iters:  53 ; Mean IoU is 0.6892431601171276
Iters:  55 ; Mean IoU is 0.6878624622935555
Iters:  56 ; Mean IoU is 0.6951672162983827
Iters:  56 ; Mean IoU is 0.6951672162983827
Iters:  58 ; Mean IoU is 0.6920359350375571
Iters:  60 ; Mean IoU is 0.6926412770148604
Iters:  61 ; Mean IoU is 0.6919856375638817
Iters:  63 ; Mean IoU is 0.6967134532579428
Iters:  63 ; Mean IoU is 0.6967134532579428
Iters:  64 ; Mean IoU is 0.6960100953602186
Iters:  66 ; Mean IoU is 0.6931939962843728
Iters:  68 ; Mean IoU is 0.6966101298052361
Iters:  69 ; Mean IoU is 0.6811363550389791
Iters:  71 ; Mean IoU is 0.6923342920828448
Iters:  73 ; Mean IoU is 0.6936809727269697
Iters:  74 ; Mean IoU is 0.6972645303113625
Iters:  74 ; Mean IoU is 0.6972645303113625
Iters:  76 ; Mean IoU is 0.6964569025885697
Iters:  78 ; Mean IoU is 0.693651049503713
Iters:  79 ; Mean IoU is 0.6924508665099903
Iters:  81 ; Mean IoU is 0.6991196355675641
Iters:  81 ; Mean IoU is 0.6991196355675641
Iters:  82 ; Mean IoU is 0.6982532281499731
Iters:  84 ; Mean IoU is 0.6986316560193583
Iters:  86 ; Mean IoU is 0.6970827155693937
Iters:  87 ; Mean IoU is 0.6981485105908495
Iters:  89 ; Mean IoU is 0.7013578454376073
Iters:  89 ; Mean IoU is 0.7013578454376073
Iters:  91 ; Mean IoU is 0.7031833769167883
Iters:  91 ; Mean IoU is 0.7031833769167883
Iters:  92 ; Mean IoU is 0.6984872375602696
Iters:  94 ; Mean IoU is 0.7016553349963208
Iters:  96 ; Mean IoU is 0.6998996611490205
Iters:  97 ; Mean IoU is 0.7018250378163129
Iters:  99 ; Mean IoU is 0.7048973956086303
Iters:  99 ; Mean IoU is 0.7048973956086303
Iters:  100 ; Mean IoU is 0.6988578091583468
Iters:  102 ; Mean IoU is 0.697142967143022
Iters:  104 ; Mean IoU is 0.6987823216642725
Iters:  105 ; Mean IoU is 0.6962961215705424
Iters:  107 ; Mean IoU is 0.6978949566620799
Iters:  109 ; Mean IoU is 0.6988542574197449
Iters:  110 ; Mean IoU is 0.7001735798436778
Iters:  112 ; Mean IoU is 0.7014506435134971
Iters:  114 ; Mean IoU is 0.7005238145744052
Iters:  115 ; Mean IoU is 0.6992522740680918
Iters:  117 ; Mean IoU is 0.6983372568465748
Iters:  119 ; Mean IoU is 0.7016666034616151
Iters:  120 ; Mean IoU is 0.7021305205694627
Iters:  122 ; Mean IoU is 0.7021421974998594
Iters:  123 ; Mean IoU is 0.7003055921898369
Iters:  125 ; Mean IoU is 0.7012184087693353
Iters:  127 ; Mean IoU is 0.7032382236420378
Iters:  128 ; Mean IoU is 0.7026645538476135
Iters:  130 ; Mean IoU is 0.7055114982978608
Iters:  130 ; Mean IoU is 0.7055114982978608
Iters:  132 ; Mean IoU is 0.7041949431845653
Iters:  133 ; Mean IoU is 0.7015683526099973
Iters:  135 ; Mean IoU is 0.7036546357837505
Iters:  137 ; Mean IoU is 0.7019324695004281
Iters:  138 ; Mean IoU is 0.704977459794776
Iters:  140 ; Mean IoU is 0.7033408729192228
Iters:  141 ; Mean IoU is 0.7075544296666758
Iters:  141 ; Mean IoU is 0.7075544296666758
Iters:  143 ; Mean IoU is 0.7031407945974352
Iters:  145 ; Mean IoU is 0.7008571250999149
Iters:  146 ; Mean IoU is 0.7013152532957543
Iters:  148 ; Mean IoU is 0.7040624452576445
Iters:  150 ; Mean IoU is 0.7013431422132009
Iters:  151 ; Mean IoU is 0.7044138654766032
Iters:  153 ; Mean IoU is 0.7064236643371843
Iters:  155 ; Mean IoU is 0.7024728997066558
Iters:  156 ; Mean IoU is 0.6934774511770802
Iters:  158 ; Mean IoU is 0.7061858427000862
Iters:  160 ; Mean IoU is 0.7039991305600628
Iters:  161 ; Mean IoU is 0.702916232222071
Iters:  163 ; Mean IoU is 0.7047799633317288
Iters:  164 ; Mean IoU is 0.7057540236935658
Iters:  166 ; Mean IoU is 0.704158041613225
Iters:  168 ; Mean IoU is 0.7031486831519254
Iters:  169 ; Mean IoU is 0.7023696249533906
Iters:  171 ; Mean IoU is 0.7023741537722783
Iters:  173 ; Mean IoU is 0.7044093409668267
Iters:  174 ; Mean IoU is 0.7046296282158598
Iters:  176 ; Mean IoU is 0.7022820396811088
Iters:  178 ; Mean IoU is 0.7043197331275872
Iters:  179 ; Mean IoU is 0.7051220420400177
Iters:  181 ; Mean IoU is 0.7018285247223894
Iters:  182 ; Mean IoU is 0.7052654217093567
Iters:  184 ; Mean IoU is 0.7038808923432139
Iters:  186 ; Mean IoU is 0.703132431729892
Iters:  187 ; Mean IoU is 0.702813046151172
Iters:  189 ; Mean IoU is 0.7038258795402528
Iters:  191 ; Mean IoU is 0.7020923278964913
Iters:  192 ; Mean IoU is 0.7039270951688505
Iters:  194 ; Mean IoU is 0.7053386614497791
Iters:  196 ; Mean IoU is 0.70417052596018
Iters:  197 ; Mean IoU is 0.7012337739946669
Iters:  199 ; Mean IoU is 0.7031535835261685
Iters:  200 ; Mean IoU is 0.7041384482652431
Iters:  202 ; Mean IoU is 0.7022476536011989
Iters:  204 ; Mean IoU is 0.7039249259450001
Iters:  205 ; Mean IoU is 0.704789678589198
Iters:  207 ; Mean IoU is 0.7025840047038849
Iters:  209 ; Mean IoU is 0.7050124915093084
Iters:  210 ; Mean IoU is 0.702981654906184
Iters:  212 ; Mean IoU is 0.7052189093978496
Iters:  214 ; Mean IoU is 0.7028282218489897
Iters:  215 ; Mean IoU is 0.7038488089844886
Iters:  217 ; Mean IoU is 0.7011543947916751
Iters:  219 ; Mean IoU is 0.7042030124122948
Iters:  220 ; Mean IoU is 0.7046242567360897
Iters:  222 ; Mean IoU is 0.7025366036822703
Iters:  223 ; Mean IoU is 0.7048855450162668
Iters:  225 ; Mean IoU is 0.7027140684057246
Iters:  227 ; Mean IoU is 0.702215789701451
Iters:  228 ; Mean IoU is 0.7040462633003758
Iters:  230 ; Mean IoU is 0.7034146519220346
Iters:  232 ; Mean IoU is 0.7026601828938898
Iters:  233 ; Mean IoU is 0.7027193126434543
Iters:  235 ; Mean IoU is 0.7034378068225875
Iters:  237 ; Mean IoU is 0.7030934989573512
Iters:  238 ; Mean IoU is 0.7041478419413971
Iters:  240 ; Mean IoU is 0.7035304347472012
Iters:  241 ; Mean IoU is 0.7012118706704263
Iters:  243 ; Mean IoU is 0.702616874760861
Iters:  245 ; Mean IoU is 0.7039679930263055
Iters:  246 ; Mean IoU is 0.7043596343951332
Iters:  248 ; Mean IoU is 0.7031123178561248
Iters:  250 ; Mean IoU is 0.7038351961701479
Iters:  251 ; Mean IoU is 0.7034604671828463
Iters:  253 ; Mean IoU is 0.7030473772933687
Iters:  255 ; Mean IoU is 0.7025546385549122
Iters:  256 ; Mean IoU is 0.7015079583021117
Iters:  258 ; Mean IoU is 0.7026297412324221
Iters:  260 ; Mean IoU is 0.7040452975347422
Iters:  261 ; Mean IoU is 0.7039348247188727
Iters:  263 ; Mean IoU is 0.7034312704527038
Iters:  264 ; Mean IoU is 0.7032167775707726
Iters:  266 ; Mean IoU is 0.703315912061412
Iters:  268 ; Mean IoU is 0.7030405738639866
Iters:  269 ; Mean IoU is 0.7032284923096332
Iters:  271 ; Mean IoU is 0.7029699815817249
Iters:  273 ; Mean IoU is 0.7028308658659262
Iters:  274 ; Mean IoU is 0.7019382739293573
Iters:  276 ; Mean IoU is 0.7029198657997348
Iters:  278 ; Mean IoU is 0.7032966161395751
Iters:  279 ; Mean IoU is 0.7027368749218985
Iters:  281 ; Mean IoU is 0.7027619889394443
